rank,rank_change,country,speed
1,-,Chile,212.98
2,-,Singapore,211.36
3,+1,Thailand,189.14
4,-1,China,176.93
5,-,Hong Kong (SAR),176.59
6,+1,Macau (SAR),160.32
7,+1,United States,159.31
8,-2,Denmark,150.52
9,-,Japan,131.49
10,+2,New Zealand,127.88
11,+4,United Arab Emirates,126.70
12,-1,Romania,124.20
13,-3,Spain,121.46
14,+6,Kuwait,120.09
15,-1,Switzerland,118.94
16,-,Monaco,112.91
17,+5,Canada,111.55
18,+7,Netherlands,109.91
19,-6,Liechtenstein,108.95
20,+1,Taiwan,107.81
21,+3,South Korea,107.29
22,-3,Portugal,105.57
23,-,Moldova,103.42
24,+5,Panama,100.72
25,-7,France,100.15
26,-,Norway,98.87
27,-10,Hungary,96.14
28,-1,Sweden,95.45
29,-1,Uruguay,94.89
30,+1,Israel,94.35
31,+1,Brazil,93.97
32,+1,Luxembourg,92.33
33,+1,Poland,89.79
34,-4,Andorra,89.68
35,-,Finland,89.65
36,-,Malta,86.87
37,+2,Qatar,84.05
38,+3,Malaysia,83.90
39,-1,Saudi Arabia,83.82
40,+2,Colombia,83.46
41,-1,Belgium,82.55
42,-5,Lithuania,82.50
43,+9,Barbados,80.16
44,+10,Trinidad and Tobago,77.82
45,-1,Vietnam,76.16
46,+7,Philippines,75.62
47,-4,Saint Lucia,75.27
48,-2,Germany,72.82
49,-,Russia,70.22
50,-3,Jordan,70.18
51,-6,Dominica,70.02
52,-2,Ireland,69.52
53,-2,Slovenia,66.23
54,+2,United Kingdom,65.68
55,-7,Saint Vincent and the Grenadines,63.85
56,+4,Paraguay,62.31
57,-2,Austria,62.23
58,-,Latvia,58.33
59,+3,Bulgaria,58.13
60,+3,Costa Rica,56.06
61,+3,Ukraine,53.98
62,-5,Serbia,53.56
63,-4,San Marino,53.27
64,-3,Grenada,52.42
65,+1,Australia,52.37
66,+2,Peru,52.14
67,-2,Italy,50.74
68,+1,Estonia,49.82
69,-2,Slovakia,49.07
70,+2,India,48.03
71,-1,Mongolia,47.95
72,+1,Bahrain,47.59
73,-2,Czechia,47.24
74,+3,Mexico,47.19
75,+4,Argentina,46.24
76,+5,Nepal,45.70
77,-3,Kosovo,45.43
78,-3,Kyrgyzstan,44.27
79,-3,Belarus,43.35
80,+3,Egypt,43.32
81,-1,Oman,43.00
82,+3,Ecuador,42.46
83,+6,Gabon,41.79
84,+2,Belize,41.16
85,+2,The Bahamas,41.03
86,-4,Uzbekistan,40.87
87,+5,Burkina Faso,40.03
88,+2,Guyana,40.00
89,-5,Jamaica,39.31
90,+5,Kazakhstan,39.19
91,+7,Nicaragua,39.03
92,-4,Albania,38.36
93,-15,Montenegro,37.65
94,-1,Armenia,36.82
95,+2,South Africa,35.85
96,-,Palestine,34.93
97,+5,C̫te d'Ivoire,34.88
98,-7,Greece,34.51
99,-,Brunei,34.27
100,-,Cyprus,33.94
101,-,Bangladesh,32.68
102,+7,Togo,31.84
103,-9,Croatia,30.15
104,+1,Saint Kitts and Nevis,28.82
105,+3,Honduras,28.28
106,-3,Turkey,27.52
107,-,Laos,27.42
108,+14,Tajikistan,27.26
109,-5,North Macedonia,27.20
110,+13,Seychelles,26.65
111,-5,Congo,26.02
112,-1,El Salvador,25.46
113,-1,Guatemala,25.34
114,-1,Ghana,24.26
115,-5,Bosnia and Herzegovina,23.05
116,-1,Bolivia,23.02
117,+4,Mali,22.31
118,+1,Indonesia,21.95
119,-3,Mauritius,21.85
120,-6,Senegal,20.97
121,-3,Azerbaijan,20.89
122,+2,Iraq,20.01
123,+12,Lesotho,19.85
124,-7,Antigua and Barbuda,19.52
125,+2,Cambodia,19.31
126,-,Georgia,19.20
127,+1,Myanmar (Burma),18.35
128,-3,Sri Lanka,17.89
129,-,Dominican Republic,16.74
130,+22,Bhutan,16.35
131,-11,Madagascar,15.50
132,-1,Benin,15.25
133,-1,Morocco,15.13
134,-1,Haiti,13.68
135,-1,Fiji,13.35
136,-6,Cape Verde,13.29
137,+21,Mauritania,12.99
138,-1,Angola,12.65
139,+3,Western Sahara,12.37
140,+3,Tanzania,11.51
141,-,Suriname,11.43
142,+12,Micronesia,11.03
143,-4,Sierra Leone,10.73
144,+3,Papua New Guinea,10.37
145,-1,Nigeria,10.25
146,-1,Iran,10.21
147,+9,Venezuela,10.18
148,-,Algeria,10.03
149,-3,Uganda,9.85
150,+5,Malawi,9.69
151,+12,Liberia,9.57
152,-14,Rwanda,9.48
153,-3,Pakistan,9.43
154,-14,Maldives,9.43
155,-,Vanuatu,9.36
156,-3,Kenya,9.23
157,-8,Namibia,9.14
158,-7,Libya,8.86
159,-,DR Congo,8.65
160,+4,Djibouti,7.99
161,-1,Tunisia,7.85
162,-1,Zambia,7.85
163,-6,Somalia,7.68
164,+2,Zimbabwe,7.02
165,-,Botswana,6.85
166,-4,Lebanon,6.42
167,-,Cameroon,6.35
168,+2,The Gambia,6.26
169,-,Swaziland,6.04
170,+3,Guinea,5.76
171,-3,Mozambique,5.68
172,-,Burundi,5.28
173,-2,Equatorial Guinea,5.26
174,+3,East Timor,4.63
175,-,Sudan,4.35
176,-2,Ethiopia,4.02
177,-1,Niger,3.72
178,-,Syria,2.99
179,-,Turkmenistan,2.13
180,-,Yemen,2.12
181,+1,Cuba,1.89
182,-1,Afghanistan,1.85
